seller_region,customer_region,total_vendas,frete_medio,preco_medio,ratio_medio,perc_total (%)
Centro-Oeste,Centro-Oeste,244,15.190122950819672,86.20758196721312,26.701626607822167,0.22
Centro-Oeste,Nordeste,189,30.819259259259262,134.3221693121693,41.538127892329214,0.17
Centro-Oeste,Norte,45,27.294444444444444,125.53844444444445,32.25553180740463,0.04
Centro-Oeste,Sudeste,987,22.119533941236067,121.61674772036474,34.22927066989145,0.88
Centro-Oeste,Sul,149,28.850939597315435,118.55436241610737,47.10367337240558,0.13
Nordeste,Centro-Oeste,134,30.873507462686568,248.37440298507462,24.451293155642855,0.12
Nordeste,Nordeste,476,21.431029411764705,271.4741386554622,17.442187486840133,0.42
Nordeste,Norte,52,44.362115384615386,363.09288461538466,21.492313535905414,0.05
Nordeste,Sudeste,870,32.517758620689655,268.33996551724135,25.161362990152426,0.77
Nordeste,Sul,174,41.45879310344827,287.81804597701154,34.221861308273844,0.15
Norte,Nordeste,4,46.4125,346.3375,44.17783459673838,0.0
Norte,Sudeste,19,35.50315789473684,294.82947368421054,42.6555714462487,0.02
Norte,Sul,3,40.77333333333333,152.36333333333334,28.57721078154755,0.0
Sudeste,Centro-Oeste,5491,21.93480058277181,122.66200145692953,36.01113602206345,4.87
Sudeste,Nordeste,8786,31.23059867971773,133.22742658775323,46.0592646312337,7.8
Sudeste,Norte,1739,35.514485336400234,148.6838470385279,51.20031768188322,1.54
Sudeste,Sudeste,66065,16.367636418678572,108.38568107167184,28.852871050800093,58.65
Sudeste,Sul,12278,21.43346962045936,113.49571021338981,36.96059050238932,10.9
Sul,Centro-Oeste,744,32.67810483870967,191.6776747311828,35.449859468248846,0.66
Sul,Nordeste,954,46.857536687631026,229.52164570230607,45.063424377139874,0.85
Sul,Norte,228,47.12245614035088,224.83526315789476,47.96219971061025,0.2
Sul,Sudeste,9472,22.466802153716216,144.40453758445946,30.30988108069398,8.41
Sul,Sul,3547,19.238680575133916,138.77608119537638,27.48217214296251,3.15
